Session,Rat,trialtype,cue,mu,tau
0.5,LTC17,0,8,0.314281943916068,0.183376520054283
1,LTC17,0,8,0.310607740369543,0.181039451583848
1.5,LTC17,0,8,0.307244769321975,0.197599261133098
2,LTC17,0,8,0.335218806882566,0.311730112644545
2.5,LTC17,0,8,0.301342163897937,0.179392579821272
3,LTC17,0,8,0.298659109252527,0.198977193942267
3.5,LTC17,0,8,0.285827928813342,0.20784699153247
4,LTC17,0,8,0.28965003591827,0.26430883637493
4.5,LTC17,0,8,0.296086191699679,0.230539431631861
5,LTC17,0,8,0.274397188736013,0.226750631210462
0.5,LTC23,0,8,0.280772164695961,0.293892166024276
1,LTC23,0,8,0.303635193372164,0.415658660128516
1.5,LTC23,0,8,0.289889845707948,0.291760607806792
2,LTC23,0,8,0.296160837725971,0.415518711787812
3,LTC23,0,8,0.295763089838226,0.289473169607664
3.5,LTC23,0,8,0.268076114128143,0.445666656557297
4,LTC23,0,8,0.306962676452447,0.464943638903508
5,LTC23,0,8,0.24576515786817,0.340837331856953
0.5,LTC13,0,8,0.414718143229515,0.132730873735959
1,LTC13,0,8,0.426132520281953,0.272733138539642
1.5,LTC13,0,8,0.432973781734951,0.275140258735998
2,LTC13,0,8,0.435297012768164,0.184933523995337
2.5,LTC13,0,8,0.382345581192956,0.282782930932347
3,LTC13,0,8,0.418788216760163,0.173513258793972
4,LTC13,0,8,0.412151971829727,0.137971907176168
4.5,LTC13,0,8,0.417486019405954,0.132796822874562
5,LTC13,0,8,0.364514476129099,0.218390411591448
0.5,LTC16,0,8,0.332745453771595,0.344152029481059
1,LTC16,0,8,0.373669861176386,0.353527476122037
2,LTC16,0,8,0.383999940309441,0.396796883485584
2.5,LTC16,0,8,0.333788943726898,0.301504497322941
3,LTC16,0,8,0.340505685793089,0.22258155363768
3.5,LTC16,0,8,0.291642666318056,0.221919534950519
4,LTC16,0,8,0.390905753998916,0.356147451598808
4.5,LTC16,0,8,0.34785172875078,0.300098404790289
5,LTC16,0,8,0.35192889325499,0.26917491487366
0.5,LTC15,0,8,0.322458773949805,0.362961598659913
1,LTC15,0,8,0.367368112696765,0.321337723977586
2,LTC15,0,8,0.34646137223454,0.392116670253463
2.5,LTC15,0,8,0.309428897378246,0.273488779689476
3,LTC15,0,8,0.324071802288187,0.373589148190686
4,LTC15,0,8,0.320362480842111,0.256200160817901
4.5,LTC15,0,8,0.318840453847723,0.307288444767612
5,LTC15,0,8,0.299910606080103,0.378107959047179
0.5,21,0,8,0.270077090629744,0.150558065166602
1,21,0,8,0.351595666093372,0.178654071083784
1.5,21,0,8,0.329391561159553,0.171486466693046
2,21,0,8,0.297777543552334,0.133960213946233
2.5,21,0,8,0.294400107898774,0.180166668317352
3,21,0,8,0.301873345792749,0.403834411748327
3.5,21,0,8,0.314021809304837,0.108994125416402
4,21,0,8,0.314874343589128,0.118877581151551
4.5,21,0,8,0.291290132347331,0.099547004566465
5,21,0,8,0.274687582932326,0.116800718179723
0.5,33,0,8,0.327455220234225,0.258396933041791
1,33,0,8,0.320989920744792,0.217595297925856
1.5,33,0,8,0.340827717662526,0.227649395989843
2,33,0,8,0.304952721648163,0.161531927003047
2.5,33,0,8,0.311548486230343,0.153640843917292
3,33,0,8,0.32149724077202,0.120929162185429
3.5,33,0,8,0.318806948604265,0.159157480231455
4,33,0,8,0.312938131211317,0.236177412824245
4.5,33,0,8,0.294270280166821,0.129310341455594
