Session,Rat,trialtype,cue,medRT,HVpref
0.5,LTC17,0,8,0.422000000000025,0
1,LTC17,0,8,0.418000000000006,0.661971830985916
1.5,LTC17,0,8,0.411000000000058,0
2,LTC17,0,8,0.52599999999984,0.751677852348993
2.5,LTC17,0,8,0.400000000000091,0
3,LTC17,0,8,0.406000000000006,0.679775280898876
3.5,LTC17,0,8,0.407999999999902,0
4,LTC17,0,8,0.444999999999936,0.777777777777778
4.5,LTC17,0,8,0.432000000000016,0
5,LTC17,0,8,0.420000000000073,0.660919540229885
0.5,LTC23,0,8,0.459000000000032,0
1,LTC23,0,8,0.608000000000061,0.642105263157895
1.5,LTC23,0,8,0.451000000000136,0
2,LTC23,0,8,0.59499999999997,0.612244897959184
3,LTC23,0,8,0.449999999999875,0.625
3.5,LTC23,0,8,0.539999999999964,0
4,LTC23,0,8,0.711999999999989,0.671232876712329
5,LTC23,0,8,0.471000000000117,0.681818181818182
0.5,LTC13,0,8,0.5,0
1,LTC13,0,8,0.582000000000107,0.645161290322581
1.5,LTC13,0,8,0.586000000000013,0
2,LTC13,0,8,0.522999999999911,0.701298701298701
2.5,LTC13,0,8,0.589999999999918,0
3,LTC13,0,8,0.548999999999978,0.696551724137931
4,LTC13,0,8,0.503999999999905,0.713114754098361
4.5,LTC13,0,8,0.509000000000128,0
5,LTC13,0,8,0.488000000000284,0.71830985915493
0.5,LTC16,0,8,0.565000000000055,0
1,LTC16,0,8,0.634000000000015,0.630630630630631
2,LTC16,0,8,0.689999999999941,0.687022900763359
2.5,LTC16,0,8,0.528000000000247,0
3,LTC16,0,8,0.53100000000012,0.691666666666667
3.5,LTC16,0,8,0.431999999999903,0
4,LTC16,0,8,0.624000000000022,0.672897196261682
4.5,LTC16,0,8,0.564000000000078,0
5,LTC16,0,8,0.554000000000087,0.638655462184874
0.5,LTC15,0,8,0.617999999999938,0
1,LTC15,0,8,0.633000000000152,0.72108843537415
2,LTC15,0,8,0.648000000000025,0.709923664122137
2.5,LTC15,0,8,0.454000000000065,0
3,LTC15,0,8,0.484000000000151,0.664473684210526
4,LTC15,0,8,0.480999999999838,0.698529411764706
4.5,LTC15,0,8,0.529999999999973,0
5,LTC15,0,8,0.589999999999918,0.7421875
0.5,21,0,8,0.358000000000004,0
1,21,0,8,0.467999999999847,0.78125
1.5,21,0,8,0.442999999999984,0
2,21,0,8,0.385999999999967,0.784722222222222
2.5,21,0,8,0.403999999999996,0
3,21,0,8,0.595000000000084,0.78030303030303
3.5,21,0,8,0.393000000000143,0
4,21,0,8,0.395000000000095,0.841726618705036
4.5,21,0,8,0.355999999999994,0
5,21,0,8,0.350000000000023,0.698529411764706
0.5,33,0,8,0.461999999999989,0
1,33,0,8,0.434000000000196,0.82962962962963
1.5,33,0,8,0.481999999999999,0
2,33,0,8,0.409999999999855,0.879432624113475
2.5,33,0,8,0.402999999999963,0
3,33,0,8,0.410000000000082,0.8046875
3.5,33,0,8,0.413999999999874,0
4,33,0,8,0.435999999999694,0.87741935483871
